,lambda_u,lambda_i,lambda_p,lambda_t,n_factors,MAE
254,1.0,0.001,1.0,100.0,2,0.696566274971
255,1.0,0.001,10.0,1.0,2,0.70166926661
256,1.0,0.001,10.0,10.0,2,0.700382432123
257,1.0,0.001,10.0,100.0,2,0.699267840561
258,1.0,0.001,100.0,1.0,2,0.700086202687
259,1.0,0.001,100.0,10.0,2,0.700001421161
260,1.0,0.001,100.0,100.0,2,0.700711058417
261,1.0,0.01,1.0,1.0,2,0.701759013562
262,1.0,0.01,1.0,10.0,2,0.701634968471
263,1.0,0.01,1.0,100.0,2,0.701304769616
264,1.0,0.01,10.0,1.0,2,0.708928861668
265,1.0,0.01,10.0,10.0,2,0.70474139806
266,1.0,0.01,10.0,100.0,2,0.702656586203
267,1.0,0.01,100.0,1.0,2,0.70373205559
268,1.0,0.01,100.0,10.0,2,0.702705468624
269,1.0,0.01,100.0,100.0,2,0.705029623689
270,1.0,0.1,1.0,1.0,2,0.704432056342
271,1.0,0.1,1.0,10.0,2,0.711020029717
272,1.0,0.1,1.0,100.0,2,0.701913964779
273,1.0,0.1,10.0,1.0,2,0.708062820925
274,1.0,0.1,10.0,10.0,2,0.70491849018
275,1.0,0.1,10.0,100.0,2,0.702190663204
276,1.0,0.1,100.0,1.0,2,0.703825170658
277,1.0,0.1,100.0,10.0,2,0.703356031177
278,1.0,0.1,100.0,100.0,2,0.703459652202
279,1.0,1.0,1.0,1.0,2,0.702130087882
280,1.0,1.0,1.0,10.0,2,0.700390439812
281,1.0,1.0,1.0,100.0,2,0.699495446871
282,1.0,1.0,10.0,1.0,2,0.697508341466
283,1.0,1.0,10.0,10.0,2,0.695489235159
284,1.0,1.0,10.0,100.0,2,0.69289801505
285,1.0,1.0,100.0,1.0,2,0.694071921388
286,1.0,1.0,100.0,10.0,2,0.693980745101
287,1.0,1.0,100.0,100.0,2,0.694330956727
288,0.001,0.001,1.0,1.0,4,0.747486598948
289,0.001,0.001,1.0,10.0,4,0.724834265843
290,0.001,0.001,1.0,100.0,4,0.699001767968
291,0.001,0.001,10.0,1.0,4,0.719319600794
292,0.001,0.001,10.0,10.0,4,0.705817344923
293,0.001,0.001,10.0,100.0,4,0.70160398295
294,0.001,0.001,100.0,1.0,4,0.702632849526
295,0.001,0.001,100.0,10.0,4,0.702658743463
296,0.001,0.001,100.0,100.0,4,0.703918942855
297,0.001,0.01,1.0,1.0,4,0.703082941073
298,0.001,0.01,1.0,10.0,4,0.703475165398
299,0.001,0.01,1.0,100.0,4,0.703847566275
300,0.001,0.01,10.0,1.0,4,0.716010161507
301,0.001,0.01,10.0,10.0,4,0.705957754123
302,0.001,0.01,10.0,100.0,4,0.70418401758
303,0.001,0.01,100.0,1.0,4,0.704985588907
304,0.001,0.01,100.0,10.0,4,0.704808324194
305,0.001,0.01,100.0,100.0,4,0.705078657621
306,0.001,0.1,1.0,1.0,4,0.704904763396
307,0.001,0.1,1.0,10.0,4,0.705396757272
308,0.001,0.1,1.0,100.0,4,0.704220027724
309,0.001,0.1,10.0,1.0,4,0.714471525768
310,0.001,0.1,10.0,10.0,4,0.704799338735
311,0.001,0.1,10.0,100.0,4,0.70281677511
312,0.001,0.1,100.0,1.0,4,0.703356465315
313,0.001,0.1,100.0,10.0,4,0.703847001398
314,0.001,0.1,100.0,100.0,4,0.704818247311
315,0.001,1.0,1.0,1.0,4,0.701108279657
316,0.001,1.0,1.0,10.0,4,0.699523607288
317,0.001,1.0,1.0,100.0,4,0.698757146798
318,0.001,1.0,10.0,1.0,4,0.705505287635
319,0.001,1.0,10.0,10.0,4,0.693933456949
320,0.001,1.0,10.0,100.0,4,0.692068294014
321,0.001,1.0,100.0,1.0,4,0.692679518447
322,0.001,1.0,100.0,10.0,4,0.693166444521
323,0.001,1.0,100.0,100.0,4,0.693363934348
324,0.01,0.001,1.0,1.0,4,0.694335258219
325,0.01,0.001,1.0,10.0,4,0.715402934039
326,0.01,0.001,1.0,100.0,4,0.696421287432
327,0.01,0.001,10.0,1.0,4,0.711607515445
328,0.01,0.001,10.0,10.0,4,0.702168852145
329,0.01,0.001,10.0,100.0,4,0.700725384892
330,0.01,0.001,100.0,1.0,4,0.702384208115
331,0.01,0.001,100.0,10.0,4,0.701658816188
332,0.01,0.001,100.0,100.0,4,0.702518420596
333,0.01,0.01,1.0,1.0,4,0.702752033242
334,0.01,0.01,1.0,10.0,4,0.702515724267
335,0.01,0.01,1.0,100.0,4,0.704011729189
336,0.01,0.01,10.0,1.0,4,0.714122161208
337,0.01,0.01,10.0,10.0,4,0.704819731946
338,0.01,0.01,10.0,100.0,4,0.703438482877
339,0.01,0.01,100.0,1.0,4,0.704353277636
340,0.01,0.01,100.0,10.0,4,0.705119062918
341,0.01,0.01,100.0,100.0,4,0.704410642568
342,0.01,0.1,1.0,1.0,4,0.705168741235
343,0.01,0.1,1.0,10.0,4,0.704899167505
344,0.01,0.1,1.0,100.0,4,0.704243355121
345,0.01,0.1,10.0,1.0,4,0.714179175775
346,0.01,0.1,10.0,10.0,4,0.703934936374
347,0.01,0.1,10.0,100.0,4,0.702220043371
348,0.01,0.1,100.0,1.0,4,0.703547565241
349,0.01,0.1,100.0,10.0,4,0.7030972734
350,0.01,0.1,100.0,100.0,4,0.703848017124
351,0.01,1.0,1.0,1.0,4,0.701815229551
352,0.01,1.0,1.0,10.0,4,0.699785366956
353,0.01,1.0,1.0,100.0,4,0.699114625624
354,0.01,1.0,10.0,1.0,4,0.705794144028
355,0.01,1.0,10.0,10.0,4,0.693389454669
356,0.01,1.0,10.0,100.0,4,0.691434101138
357,0.01,1.0,100.0,1.0,4,0.69301879091
358,0.01,1.0,100.0,10.0,4,0.692944681055
359,0.01,1.0,100.0,100.0,4,0.693526433897
360,0.1,0.001,1.0,1.0,4,0.694229579218
361,0.1,0.001,1.0,10.0,4,0.712614623282
362,0.1,0.001,1.0,100.0,4,0.696730113826
363,0.1,0.001,10.0,1.0,4,0.715254236378
364,0.1,0.001,10.0,10.0,4,0.702562991267
365,0.1,0.001,10.0,100.0,4,0.70140699775
366,0.1,0.001,100.0,1.0,4,0.701228354053
367,0.1,0.001,100.0,10.0,4,0.701858130458
368,0.1,0.001,100.0,100.0,4,0.702038347669
369,0.1,0.01,1.0,1.0,4,0.702676839708
370,0.1,0.01,1.0,10.0,4,0.70412900468
371,0.1,0.01,1.0,100.0,4,0.703058937226
372,0.1,0.01,10.0,1.0,4,0.71515306437
373,0.1,0.01,10.0,10.0,4,0.704473736913
374,0.1,0.01,10.0,100.0,4,0.703679218733
375,0.1,0.01,100.0,1.0,4,0.704724124423
376,0.1,0.01,100.0,10.0,4,0.705463938523
377,0.1,0.01,100.0,100.0,4,0.70599719941
378,0.1,0.1,1.0,1.0,4,0.704190145505
379,0.1,0.1,1.0,10.0,4,0.704582496654
380,0.1,0.1,1.0,100.0,4,0.70480195212
381,0.1,0.1,10.0,1.0,4,0.715606377952
382,0.1,0.1,10.0,10.0,4,0.704534816991
